date,time,DOY,Ta,RH,Rg
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[%],[W/m^2]
2019-05-01,06:33,121.2728,267.317,95.1304,76.4858
2019-05-01,07:03,121.2937,267.746,92.0239,215.634
2019-05-01,07:33,121.3145,268.166,89.6755,291.002
2019-05-01,08:03,121.3353,268.415,86.0560,389.237
2019-05-01,08:33,121.3561,268.537,83.5736,610.237
2019-05-01,09:03,121.3770,268.363,80.2252,771.314
2019-05-01,09:33,121.3978,268.909,76.8336,869.832
2019-05-01,10:03,121.4186,269.112,75.0175,943.720
2019-05-01,10:33,121.4395,269.521,69.3409,1047.15
2019-05-01,11:03,121.4603,269.528,65.8582,1039.22
2019-05-01,11:33,121.4811,269.506,68.2361,1065.84
2019-05-01,12:03,121.5020,269.936,63.3205,1101.80
2019-05-01,12:33,121.5228,270.441,62.2565,1087.14
2019-05-01,13:03,121.5436,270.693,60.6774,988.777
2019-05-01,13:33,121.5644,270.505,62.1467,849.772
2019-05-01,14:03,121.5853,270.922,60.9115,836.420
2019-05-01,14:33,121.6061,270.168,62.0980,556.526
2019-05-01,15:03,121.6269,270.343,59.6356,564.360
2019-05-01,15:33,121.6478,270.110,62.6468,458.367
2019-05-01,16:03,121.6686,270.424,53.5889,479.356
2019-05-01,16:33,121.6894,270.892,50.9432,433.223
2019-05-01,17:03,121.7103,271.544,46.5017,473.138
2019-05-01,17:33,121.7311,271.612,41.2013,373.052
2019-05-01,18:03,121.7519,271.534,45.7566,274.259
2019-05-01,18:33,121.7727,270.770,52.5713,107.633
2019-05-01,19:03,121.7936,270.077,50.8278,20.4231
2019-05-01,19:33,121.8144,269.247,55.5537,-3.95856
2019-05-01,20:03,121.8352,268.457,61.9671,-5.42181
2019-05-01,20:33,121.8561,267.876,64.7950,-5.00682
2019-05-01,21:03,121.8769,267.705,67.4468,-5.12349
2019-05-01,21:33,121.8977,267.152,66.0182,-5.08522
2019-05-01,22:03,121.9186,266.975,70.8809,-4.51451
2019-05-01,22:33,121.9394,266.813,73.9486,-3.97003
2019-05-01,23:03,121.9602,267.084,73.8818,-4.62376
2019-05-01,23:33,121.9810,266.291,75.6073,-5.02237
2019-05-02,00:03,122.0020,266.477,76.3166,-4.00828
2019-05-02,00:33,122.0229,266.941,78.5762,-3.79791
2019-05-02,01:03,122.0437,267.005,80.9202,-4.23306
2019-05-02,01:33,122.0645,267.184,79.4396,-4.10178
2019-05-02,02:03,122.0854,267.299,79.9581,-4.52054
2019-05-02,02:33,122.1062,267.419,78.3248,-4.27011
2019-05-02,03:03,122.1270,267.723,77.4839,-4.34919
2019-05-02,03:33,122.1478,267.469,79.8621,-4.82549
2019-05-02,04:03,122.1687,267.596,76.4152,-4.09406
2019-05-02,04:33,122.1895,267.805,77.4982,-4.56496
2019-05-02,05:03,122.2103,267.508,76.4527,-2.91338
2019-05-02,05:33,122.2312,268.112,74.6524,29.1247
2019-05-02,06:03,122.2520,268.911,69.2772,116.027
2019-05-02,06:33,122.2728,270.286,60.8123,220.452
2019-05-02,07:03,122.2937,271.226,57.0400,332.120
2019-05-02,07:33,122.3145,271.861,52.8179,446.904
2019-05-02,08:03,122.3353,272.600,48.1684,554.208
2019-05-02,08:33,122.3561,272.956,48.1919,661.811
2019-05-02,09:03,122.3770,273.412,45.0172,694.878
2019-05-02,09:33,122.3978,273.886,39.3434,838.377
2019-05-02,10:03,122.4186,274.466,37.5706,956.728
2019-05-02,10:33,122.4395,274.296,41.3388,750.481
2019-05-02,11:03,122.4603,273.988,38.7731,592.349
2019-05-02,11:33,122.4811,274.605,35.4586,720.650
2019-05-02,12:03,122.5020,274.644,33.8604,731.240
2019-05-02,12:33,122.5228,275.081,29.3890,844.783
2019-05-02,13:03,122.5436,275.488,30.5239,858.340
2019-05-02,13:33,122.5644,275.884,30.6101,828.529
2019-05-02,14:03,122.5853,275.476,31.5520,618.560
2019-05-02,14:33,122.6061,275.693,32.8544,624.916
2019-05-02,15:03,122.6269,276.084,31.6888,743.608
2019-05-02,15:33,122.6478,275.533,36.3958,377.643
2019-05-02,16:03,122.6686,275.385,39.8519,326.006
2019-05-02,16:33,122.6894,275.043,36.2985,218.828
2019-05-02,17:03,122.7103,275.879,34.1280,380.753
2019-05-02,17:33,122.7311,275.452,37.1429,239.728
2019-05-02,18:03,122.7519,275.790,35.7540,225.689
2019-05-02,18:33,122.7727,274.957,41.4957,90.4245
2019-05-02,19:03,122.7936,274.033,42.4851,18.6457
2019-05-02,19:33,122.8144,273.399,44.3887,-3.61782
2019-05-02,20:03,122.8352,272.763,48.5159,-5.33472
2019-05-02,20:33,122.8561,272.490,47.8340,-4.79416
2019-05-02,21:03,122.8769,272.805,47.7065,-4.71862
2019-05-02,21:33,122.8977,272.821,48.5265,-4.71185
2019-05-02,22:03,122.9186,272.472,51.4128,-4.66933
2019-05-02,22:33,122.9394,272.286,54.1456,-3.60774
2019-05-02,23:03,122.9602,272.356,59.1840,-2.05043
2019-05-02,23:33,122.9810,272.160,82.9800,-1.30653
2019-05-03,00:03,123.0020,271.579,77.1861,-1.01166
2019-05-03,00:33,123.0229,271.204,74.9185,-1.18273
2019-05-03,01:03,123.0437,271.184,71.0309,-2.75500
2019-05-03,01:33,123.0645,271.027,65.6070,-4.20835
2019-05-03,02:03,123.0854,270.872,62.6471,-4.54669
2019-05-03,02:33,123.1062,270.776,59.3714,-4.47184
2019-05-03,03:03,123.1270,270.456,58.4200,-4.80682
2019-05-03,03:33,123.1478,270.238,57.5575,-3.50292
2019-05-03,04:03,123.1687,270.446,56.9704,-4.01849
2019-05-03,04:33,123.1895,270.687,55.7885,-4.38649
2019-05-03,05:03,123.2103,270.861,55.4805,-3.16686
2019-05-03,05:33,123.2312,270.781,56.7983,25.2301
2019-05-03,06:03,123.2520,271.082,53.8417,106.302
2019-05-03,06:33,123.2728,272.117,50.3493,209.118
2019-05-03,07:03,123.2937,273.068,48.3847,320.113
2019-05-03,07:33,123.3145,273.731,46.5382,434.839
2019-05-03,08:03,123.3353,274.650,44.3313,546.414
2019-05-03,08:33,123.3561,275.022,41.3462,610.518
2019-05-03,09:03,123.3770,275.293,36.0387,766.105
2019-05-03,09:33,123.3978,275.687,35.1625,839.805
2019-05-03,10:03,123.4186,276.439,32.9606,905.746
